Sr. No.,Company Name,Job Title,Salaries Reported,Location,Salary,Average Salary,Weighted Average Salary,Median Salary,Level,Years of Exp
2234,Atos-Syntel,Data Analyst,2,Pune,83347,82367,84116,61899,Junior,1-6
2235,XYZ (Turkey),Data Analyst,2,Pune,140960,82366,84116,61899,Mid,7-14
2236,Persistent Systems,Data Analyst,2,Pune,46849,82339,84097,61899,Junior,1-6
2237,Gallagher,Data Analyst,2,Pune,32722,82355,84110,61899,Junior,1-6
2238,SBT Research,Data Analyst,2,Pune,35782,82379,84126,61899,Junior,1-6
2239,InfoCepts,Data Analyst,2,Pune,62215,82401,84142,61899,Junior,1-6
2240,Landytech,Data Analyst,2,Pune,37500,82411,84149,61899,Junior,1-6
2241,Multibrands International,Data Analyst,2,Pune,60790,82432,84164,61899,Junior,1-6
2242,BNY Mellon,Data Analyst,2,Pune,55909,82443,84172,61917,Junior,1-6
2243,KPIT Technologies,Data Analyst,2,Pune,50011,82455,84181,61935,Junior,1-6
2244,Collabera,Data Analyst,2,Pune,46231,82471,84192,61955,Junior,1-6
2245,Sakon,Data Analyst,2,Pune,37903,82488,84204,61975,Junior,1-6
2246,Indiacom,Data Analyst,2,Pune,36016,82509,84219,61989,Junior,1-6
2247,JetSynthesys,Data Analyst,2,Pune,54073,82531,84235,62002,Junior,1-6
2248,Data Philics,Data Analyst,2,Pune,37484,82545,84245,62002,Junior,1-6
2249,Friends Union for Energising Lives (Fuel),Data Analyst,2,Pune,62952,82567,84260,62002,Junior,1-6
2250,SS Supply Chain Solutions,Data Analyst,2,Pune,65897,82576,84267,62002,Junior,1-6
2251,DONE by NONE,Data Analyst,2,Pune,45069,82584,84273,62002,Junior,1-6
2252,NVIDIA,Data Analyst,2,Pune,36046,82602,84286,62002,Junior,1-6
2253,AffinityX,Data Analyst,2,Pune,39376,82624,84302,62002,Junior,1-6
2254,Entercoms,Data Analyst,2,Pune,42122,82645,84316,62002,Junior,1-6
2255,BYJU'S,Data Analyst,2,Pune,47234,82664,84330,62002,Junior,1-6
2256,First Student,Data Analyst,2,Pune,47751,82681,84342,62026,Junior,1-6
2257,Knorex,Data Analyst,2,Pune,31822,82698,84354,62050,Junior,1-6
2258,XYZ,Data Analyst,2,Pune,73067,82723,84372,62081,Junior,1-6
2259,NA World Services,Data Analyst,2,Pune,37839,82727,84375,62050,Junior,1-6
2260,Sokrati,Data Analyst,2,Pune,32354,82749,84391,62081,Junior,1-6
2261,Rudder Analytics,Data Analyst,2,Pune,43826,82773,84408,62111,Junior,1-6
2262,Emcure Pharmaceuticals,Data Analyst,2,Pune,45139,82792,84421,62135,Junior,1-6
2263,MarketsandMarkets,Data Analyst,1,Pune,35314,82810,84434,62158,Junior,1-6
2264,Graco,Data Analyst,1,Pune,70628,82833,84450,62158,Junior,1-6
2265,TEJAS TECHNOLOGIES INC,Data Analyst,1,Pune,65583,82839,84455,62158,Junior,1-6
2266,Accenture,Data Analyst,1,Pune,66679,82847,84461,62135,Junior,1-6
2267,Microsoft,Data Analyst,1,Pune,107488,82855,84467,62111,Mid,7-14
2268,Accenture,Data Analyst,1,Pune,56284,82843,84460,62081,Junior,1-6
2269,Smartek21,Data Analyst,1,Pune,42921,82856,84469,62111,Junior,1-6
2270,Kalitta Air,Data Analyst,1,Pune,46633,82875,84483,62135,Junior,1-6
2271,Accenture,Data Analyst,1,Pune,58000,82893,84495,62158,Junior,1-6
2272,NVIDIA,Data Analyst,1,Pune,40655,82905,84504,62158,Junior,1-6
2273,Progressive Infovision,Data Analyst,1,Pune,48736,82925,84519,62158,Junior,1-6
2274,Ample Softech System,Data Analyst,1,Pune,42675,82942,84531,62158,Junior,1-6
2275,Ziff Davis LLC,Data Analyst,1,Pune,52147,82961,84544,62158,Junior,1-6
2276,IIM Kozhikkode,Data Analyst,1,Pune,76470,82976,84555,62158,Junior,1-6
2277,Perennial,Data Analyst,1,Pune,39347,82979,84558,62158,Junior,1-6
2278,Irupar Sociedad Cooperativa,Data Analyst,1,Pune,60440,83000,84573,62158,Junior,1-6
2279,md,Data Analyst,1,Pune,43431,83011,84581,62158,Junior,1-6
2280,IBM,Data Analyst,1,Pune,100733,83031,84595,62158,Mid,7-14
2281,TIAA,Data Analyst,1,Pune,143833,83022,84589,62158,Mid,7-14
2282,Kisan Forum,Data Analyst,1,Pune,42315,82992,84570,62158,Junior,1-6
2283,EBC,Data Analyst,1,Pune,643196,83012,84584,62158,Senior,15-25
2284,Allstate,Data Analyst,1,Pune,54081,82740,84396,62158,Junior,1-6
2285,GTT,Data Analyst,1,Pune,61547,82754,84407,62158,Junior,1-6
2286,Strata Decision Technology,Data Analyst,1,Pune,60067,82764,84414,62158,Junior,1-6
2287,Appberry,Data Analyst,1,Pune,45748,82775,84423,62158,Junior,1-6
2288,Fran Biz,Data Analyst,1,Pune,52412,82793,84436,62158,Junior,1-6
2289,Arya Risk Management Solutions,Data Analyst,1,Pune,40655,82808,84446,62158,Junior,1-6
2290,Avalara,Data Analyst,1,Pune,47995,82828,84461,62158,Junior,1-6
2291,Tiger Analytics,Data Analyst,1,Pune,85990,82845,84473,62158,Junior,1-6
2292,D.A.T.A.,Data Analyst,1,Pune,67440,82844,84473,62158,Junior,1-6
2293,Tecure Technology,Data Analyst,1,Pune,48492,82851,84479,62158,Junior,1-6
2294,Itouch Infotronics,Data Analyst,1,Pune,68104,82868,84491,62158,Junior,1-6
2295,DEUSTCHE,Data Analyst,1,Pune,193246,82875,84496,62158,Mid,7-14
2296,TeamLease Staffing Solutions,Data Analyst,1,Pune,39666,82821,84459,62158,Junior,1-6
2297,Mahira Engineering,Data Analyst,1,Pune,49547,82843,84475,62158,Junior,1-6
2298,Mahendraâ€™s Institute,Data Analyst,1,Pune,50980,82859,84486,62158,Junior,1-6
2299,KreditBee,Data Analyst,1,Pune,52059,82875,84498,62158,Junior,1-6
2300,Accenture,Data Analyst,1,Pune,57643,82890,84509,62158,Junior,1-6
2301,DataVinci Analytics Agency,Data Analyst,1,Pune,37294,82902,84518,62158,Junior,1-6
2302,Maestro Intellect,Data Analyst,1,Pune,59165,82924,84534,62158,Junior,1-6
2303,Ugam,Data Analyst,1,Pune,70000,82936,84543,62158,Junior,1-6
2304,Horizon Electric,Data Analyst,1,Pune,43431,82942,84548,62158,Junior,1-6
2305,Cotiviti,Data Analyst,1,Pune,87327,82962,84562,62158,Junior,1-6
2306,Global Market Insights,Data Analyst,1,Pune,49116,82960,84561,62158,Junior,1-6
2307,Infort Technology,Data Analyst,1,Pune,43519,82976,84573,62158,Junior,1-6
2308,MIT,Data Analyst,1,Pune,38759,82996,84587,62158,Junior,1-6
2309,Kerlan-Jobe Orthopaedic Clinic,Data Analyst,1,Pune,60000,83018,84603,62158,Junior,1-6
2310,Amadeus,Data Analyst,1,Pune,48234,83029,84611,62200,Junior,1-6
2311,Mass Technologies,Data Analyst,1,Pune,36000,83046,84623,62242,Junior,1-6
2312,PRGX Global,Data Analyst,1,Pune,50818,83069,84640,62278,Junior,1-6
2313,PhotoMath (CA),Data Analyst,1,Pune,36176,83085,84652,62314,Junior,1-6
2314,Lalit Roongta Group,Data Analyst,1,Pune,71558,83108,84668,62359,Junior,1-6
2315,Looking for Job,Data Analyst,1,Pune,64493,83114,84673,62314,Junior,1-6
2316,MIT World Peace University,Data Analyst,1,Pune,55268,83123,84680,62278,Junior,1-6
2317,Allianz,Data Analyst,1,Pune,36985,83137,84690,62314,Junior,1-6
2318,We Are Job Seekers,Data Analyst,1,Pune,36985,83160,84706,62359,Junior,1-6
2319,Prithvi Nath,Data Analyst,1,Pune,48492,83183,84723,62403,Junior,1-6
2320,Cubictree Technology Solutions,Data Analyst,1,Pune,55525,83200,84735,62435,Junior,1-6
2321,Magna Infotech,Data Analyst,1,Pune,49263,83213,84745,62466,Junior,1-6
2322,CSS Corporation,Data Analyst,1,Pune,58868,83230,84758,62469,Junior,1-6
2323,Endurance Technologies,Data Analyst,1,Pune,30347,83242,84766,62471,Junior,1-6
2324,Johnson Controls,Data Analyst,1,Pune,35782,83269,84785,62471,Junior,1-6
2325,Roverside,Data Analyst,1,Pune,39376,83292,84802,62471,Junior,1-6
2326,Accenture,Data Analyst,1,Pune,52354,83314,84818,62471,Junior,1-6
2327,Diverse Lynx,Data Analyst,1,Pune,38000,83329,84829,62471,Junior,1-6
2328,Xyster Consulting,Data Analyst,1,Pune,39347,83352,84845,62472,Junior,1-6
2329,Vereigen Media,Data Analyst,1,Pune,43431,83374,84861,62472,Junior,1-6
2330,ASD,Data Analyst,1,Pune,48492,83394,84876,62474,Junior,1-6
2331,Michelin,Data Analyst,1,Pune,59165,83411,84888,62475,Junior,1-6
2332,Kurrajong and District Hospital Society,Data Analyst,1,Pune,70628,83423,84897,62477,Junior,1-6
2333,Yogesh and Jain,Data Analyst,1,Pune,39000,83429,84902,62475,Junior,1-6
2334,WebDirekt,Data Analyst,1,Pune,37176,83452,84918,62477,Junior,1-6
2335,Excelsior Research,Data Analyst,1,Pune,34920,83475,84935,62478,Junior,1-6
2336,Sunanda Speciality Coatings,Data Analyst,1,Pune,60048,83499,84952,62497,Junior,1-6
2337,Blue Planet Solutions,Data Analyst,1,Pune,35224,83511,84961,62515,Junior,1-6
2338,Northern Alberta Institute of Technology,Data Analyst,1,Pune,43765,83535,84978,62515,Junior,1-6
2339,GTL Limited,Data Analyst,1,Pune,63725,83555,84993,62515,Junior,1-6
2340,S2W Media,Data Analyst,1,Pune,56465,83565,85000,62515,Junior,1-6
2341,IDEA,Data Analyst,1,Pune,65680,83578,85010,62515,Junior,1-6
2342,Coditas,Data Analyst,1,Pune,45403,83587,85017,62515,Junior,1-6
2343,Tommy Hilfiger,Data Analyst,1,Pune,61086,83606,85031,62515,Junior,1-6
2344,Cummins,Data Analyst,1,Pune,78248,83617,85039,62546,Junior,1-6
2345,ADHOC Services,Data Analyst,1,Pune,56346,83620,85042,62515,Junior,1-6
2346,GGS Engineering Services,Data Analyst,1,Pune,48232,83634,85052,62546,Junior,1-6
2347,SG Analytics,Data Analyst,1,Pune,40655,83652,85065,62576,Junior,1-6
2348,Zendesk,Data Analyst,1,Pune,30949,83673,85081,62580,Junior,1-6
2349,Cosmos eSolutions & Services,Data Analyst,1,Pune,32441,83700,85100,62583,Junior,1-6
2350,Innovatus Technologies,Data Analyst,1,Pune,31429,83725,85118,62586,Junior,1-6
2351,Flash Electronics (India),Data Analyst,1,Pune,39725,83752,85137,62588,Junior,1-6
2352,Evolvus,Data Analyst,1,Pune,38682,83774,85153,62598,Junior,1-6
2353,Diacto Technologies,Data Analyst,1,Pune,35158,83797,85170,62607,Junior,1-6
2354,Tata Consultancy Services,Data Analyst,35,Hyderabad,50000,83821,85187,62637,Junior,1-6
2355,Deloitte,Data Analyst,29,Hyderabad,62478,83838,85200,62666,Junior,1-6
2356,Amazon,Data Analyst,25,Hyderabad,41929,83849,85208,62766,Junior,1-6
2357,Accenture,Data Analyst,23,Hyderabad,57936,83870,85223,62866,Junior,1-6
2358,Cognizant Technology Solutions,Data Analyst,22,Hyderabad,52793,83883,85233,62880,Junior,1-6
2359,Zen3 Info Solutions,Data Analyst,19,Hyderabad,49749,83899,85244,62894,Junior,1-6
2360,Tech Mahindra,Data Analyst,18,Hyderabad,40074,83916,85257,62894,Junior,1-6
2361,Infosys,Data Analyst,14,Hyderabad,49526,83938,85273,62894,Junior,1-6
2362,IBM,Data Analyst,12,Hyderabad,51398,83956,85286,62894,Junior,1-6
2363,Google,Data Analyst,11,Hyderabad,153290,83972,85298,62894,Mid,7-14
2364,CAMP Systems,Data Analyst,9,Hyderabad,34815,83937,85274,62894,Junior,1-6
2365,GlobalData,Data Analyst,9,Hyderabad,36322,83962,85292,62894,Junior,1-6
2366,Optum,Data Analyst,9,Hyderabad,127395,83986,85309,62894,Mid,7-14
2367,Capgemini,Data Analyst,9,Hyderabad,37768,83964,85294,62894,Junior,1-6
2368,GlobalLogic,Data Analyst,8,Hyderabad,49232,83987,85311,62894,Junior,1-6
2369,Microsoft,Data Analyst,7,Hyderabad,92464,84005,85324,62894,Junior,1-6
2370,Unifytech,Data Analyst,7,Hyderabad,49381,84001,85322,62894,Junior,1-6
2371,Kantar,Data Analyst,7,Hyderabad,40737,84018,85334,62894,Junior,1-6
2372,ICICI Bank,Data Analyst,7,Hyderabad,60440,84040,85350,62896,Junior,1-6
2373,Cyient,Data Analyst,7,Hyderabad,56410,84052,85359,62898,Junior,1-6
2374,Wipro,Data Analyst,7,Hyderabad,30588,84066,85370,62923,Junior,1-6
2375,ValueLabs,Data Analyst,7,Hyderabad,90290,84094,85390,62947,Junior,1-6
2376,Metrics4 Analytics,Data Analyst,6,Hyderabad,47071,84090,85388,62923,Junior,1-6
2377,UnitedHealth Group,Data Analyst,6,Hyderabad,119894,84109,85402,62947,Mid,7-14
2378,Saras Analytics,Data Analyst,5,Hyderabad,70341,84091,85389,62923,Junior,1-6
2379,Teleperformance,Data Analyst,5,Hyderabad,48600,84098,85395,62898,Junior,1-6
2380,Dynata,Data Analyst,5,Hyderabad,38889,84116,85408,62923,Junior,1-6
2381,Verizon,Data Analyst,5,Hyderabad,97661,84139,85425,62947,Junior,1-6
2382,Serco Group,Data Analyst,5,Hyderabad,37076,84132,85420,62923,Junior,1-6
2383,Quadrant Resource,Data Analyst,5,Hyderabad,33013,84156,85438,62947,Junior,1-6
2384,Zeta Global,Data Analyst,5,Hyderabad,38235,84183,85457,62974,Junior,1-6
2385,Zen3 Infosolutions,Data Analyst,5,Hyderabad,50000,84206,85474,63000,Junior,1-6
2386,Optum Global Solutions,Data Analyst,5,Hyderabad,90344,84224,85487,63086,Junior,1-6
2387,Dell Technologies,Data Analyst,5,Hyderabad,100733,84220,85485,63000,Mid,7-14
2388,ADP,Data Analyst,4,Hyderabad,64056,84212,85479,62974,Junior,1-6
2389,Oracle,Data Analyst,4,Hyderabad,113941,84222,85487,62947,Mid,7-14
2390,S&P Global,Data Analyst,4,Hyderabad,65852,84207,85477,62923,Junior,1-6
2391,Wells Fargo,Data Analyst,4,Hyderabad,68135,84216,85484,62898,Junior,1-6
2392,Uber,Data Analyst,4,Hyderabad,66264,84225,85490,62896,Junior,1-6
2393,Novartis,Data Analyst,4,Hyderabad,91496,84234,85497,62894,Junior,1-6
2394,HP Inc.,Data Analyst,4,Hyderabad,36058,84230,85495,62894,Junior,1-6
2395,DataBeat,Data Analyst,4,Hyderabad,40352,84255,85513,62894,Junior,1-6
2396,Salesforce,Data Analyst,4,Hyderabad,120562,84278,85530,62896,Mid,7-14
2397,PK,Data Analyst,4,Hyderabad,45213,84259,85517,62894,Junior,1-6
2398,Apex CoVantage,Data Analyst,3,Hyderabad,50639,84279,85532,62896,Junior,1-6
2399,MediaMint,Data Analyst,3,Hyderabad,36651,84296,85545,62898,Junior,1-6
2400,MetrixLab,Data Analyst,3,Hyderabad,43778,84321,85563,62923,Junior,1-6
2401,EMPLOYERS,Data Analyst,3,Hyderabad,30000,84342,85578,62947,Junior,1-6
2402,Genpact,Data Analyst,3,Hyderabad,33879,84370,85598,62974,Junior,1-6
2403,IMImobile,Data Analyst,3,Hyderabad,71135,84396,85617,63000,Junior,1-6
2404,Quantium,Data Analyst,3,Hyderabad,107284,84403,85623,62974,Mid,7-14
2405,HitWicket,Data Analyst,3,Hyderabad,66911,84391,85615,62947,Junior,1-6
2406,AIR Worldwide,Data Analyst,3,Hyderabad,39897,84400,85622,62923,Junior,1-6
2407,Indian Political Action Committee,Data Analyst,3,Hyderabad,73535,84423,85638,62947,Junior,1-6
2408,Indium Software,Data Analyst,3,Hyderabad,74320,84429,85643,62923,Junior,1-6
2409,Ivy,Data Analyst,3,Hyderabad,96704,84434,85647,62898,Junior,1-6
2410,NTT DATA,Data Analyst,3,Hyderabad,50818,84428,85643,62896,Junior,1-6
2411,IHS Markit,Data Analyst,3,Hyderabad,50980,84445,85656,62898,Junior,1-6
2412,First Student,Data Analyst,3,Hyderabad,60000,84462,85669,62923,Junior,1-6
2413,Trianz,Data Analyst,3,Hyderabad,58863,84475,85678,62947,Junior,1-6
2414,Tata Steel,Data Analyst,2,Hyderabad,85758,84488,85688,62974,Junior,1-6
2415,Exusia,Data Analyst,2,Hyderabad,44302,84488,85688,62947,Junior,1-6
2416,Cotiviti,Data Analyst,2,Hyderabad,31147,84509,85704,62974,Junior,1-6
2417,Realshoppee Retail,Data Analyst,2,Hyderabad,50306,84536,85724,63000,Junior,1-6
2418,ICE Data Services,Data Analyst,2,Hyderabad,43047,84554,85737,63086,Junior,1-6
2419,CDK Global,Data Analyst,2,Hyderabad,112373,84576,85753,63171,Mid,7-14
2420,Vodafone Idea,Data Analyst,2,Hyderabad,61648,84561,85743,63086,Junior,1-6
2421,Accenture,Data Analyst,2,Hyderabad,224379,84573,85752,63171,Mid,7-14
2422,Intercontinental Exchange,Data Analyst,2,Hyderabad,45842,84500,85700,63086,Junior,1-6
2423,Jayar Manufacturing,Data Analyst,2,Hyderabad,71916,84520,85715,63171,Junior,1-6
2424,ReferenceGlobe,Data Analyst,2,Hyderabad,48044,84527,85720,63086,Junior,1-6
2425,DuPont Sustainable Solutions,Data Analyst,2,Hyderabad,86109,84546,85734,63171,Junior,1-6
2426,Technical Data Analysis,Data Analyst,2,Hyderabad,36000,84545,85734,63086,Junior,1-6
2427,Amazon,Data Analyst,2,Hyderabad,99836,84571,85753,63171,Junior,1-6
2428,Wenable Technologies,Data Analyst,2,Hyderabad,62588,84563,85748,63086,Junior,1-6
2429,Parexel,Data Analyst,2,Hyderabad,51954,84574,85756,63171,Junior,1-6
2430,HSBC,Data Analyst,2,Hyderabad,60624,84591,85769,63260,Junior,1-6
2431,Franklin Templeton Investments,Data Analyst,2,Hyderabad,53613,84604,85778,63348,Junior,1-6
2432,BYJU'S,Data Analyst,2,Hyderabad,63386,84620,85791,63367,Junior,1-6
2433,HCL,Data Analyst,2,Hyderabad,90022,84631,85799,63348,Junior,1-6
2434,Yes Bank,Data Analyst,2,Hyderabad,33865,84628,85797,63260,Junior,1-6
2435,Cogent Data Solutions,Data Analyst,2,Hyderabad,48651,84655,85817,63348,Junior,1-6
2436,Solugenix Corporation,Data Analyst,2,Hyderabad,41320,84674,85831,63406,Junior,1-6
2437,Minvesta,Data Analyst,2,Hyderabad,48395,84697,85848,63463,Junior,1-6
2438,Virtusa,Data Analyst,2,Hyderabad,226532,84716,85862,63487,Mid,7-14
2439,HCL Technologies,Data Analyst,2,Hyderabad,33723,84641,85809,63463,Junior,1-6
2440,Rajesh Motors,Data Analyst,2,Hyderabad,37580,84668,85829,63487,Junior,1-6
2441,SR Edu Solutions,Data Analyst,2,Hyderabad,49074,84693,85847,63511,Junior,1-6
2442,YES,Data Analyst,2,Hyderabad,30995,84711,85861,63595,Junior,1-6
2443,Freelancer,Data Analyst,2,Hyderabad,58645,84740,85882,63678,Junior,1-6
2444,DONE by NONE,Data Analyst,2,Hyderabad,73299,84754,85892,63686,Junior,1-6
2445,InsideView,Data Analyst,2,Hyderabad,87666,84760,85897,63678,Junior,1-6
2446,Next Education India,Data Analyst,2,Hyderabad,61975,84758,85896,63595,Junior,1-6
2447,First Student,Data Analyst,2,Hyderabad,282153,84770,85905,63678,Mid,7-14
2448,DBS Bank,Data Analyst,2,Hyderabad,113871,84666,85830,63595,Mid,7-14
2449,myPaisaa,Data Analyst,1,Hyderabad,58087,84650,85820,63511,Junior,1-6
2450,PrimEra Medical Technologies,Data Analyst,1,Hyderabad,50811,84664,85830,63595,Junior,1-6
2451,Strategic Alpha,Data Analyst,1,Hyderabad,51582,84682,85844,63678,Junior,1-6
2452,Hetero,Data Analyst,1,Hyderabad,34526,84700,85857,63686,Junior,1-6
2453,E-Prospects,Data Analyst,1,Hyderabad,77298,84726,85876,63693,Junior,1-6
2454,GigIndia,Data Analyst,1,Hyderabad,223770,84730,85880,63686,Mid,7-14
2455,Sun Microsystems,Data Analyst,1,Hyderabad,33879,84657,85827,63678,Junior,1-6
2456,Appen,Data Analyst,1,Hyderabad,34000,84684,85847,63686,Junior,1-6
2457,La casa one,Data Analyst,1,Hyderabad,42552,84710,85867,63693,Junior,1-6
2458,VotaryTech,Data Analyst,1,Hyderabad,53711,84733,85883,63709,Junior,1-6
2459,Dr. Reddy's,Data Analyst,1,Hyderabad,33600,84749,85896,63725,Junior,1-6
2460,Harish Hathiwala,Data Analyst,1,Hyderabad,36789,84777,85916,63725,Junior,1-6
2461,Jaffar Engineering Works,Data Analyst,1,Hyderabad,126222,84802,85935,63725,Mid,7-14
2462,Mindtree,Data Analyst,1,Hyderabad,49280,84780,85919,63725,Junior,1-6
2463,Amazon,Data Analyst,1,Hyderabad,43519,84799,85933,63725,Junior,1-6
2464,PokerStars,Data Analyst,1,Hyderabad,85990,84821,85950,63931,Junior,1-6
2465,Moonstone Infotech,Data Analyst,1,Hyderabad,80718,84820,85950,63725,Junior,1-6
2466,GOLDFINCH,Data Analyst,1,Hyderabad,40293,84823,85952,63725,Junior,1-6
2467,Ola,Data Analyst,1,Hyderabad,118237,84846,85969,63725,Mid,7-14
2468,Innominds Software,Data Analyst,1,Hyderabad,54206,84828,85957,63725,Junior,1-6
2469,Snycon Software Solutions,Data Analyst,1,Hyderabad,46886,84845,85969,63725,Junior,1-6
2470,E-rachit Technologies,Data Analyst,1,Hyderabad,121077,84865,85984,63931,Mid,7-14
2471,Orbit Technologies,Data Analyst,1,Hyderabad,61081,84846,85971,63725,Junior,1-6
2472,DataBeat,Data Analyst,1,Hyderabad,48648,84858,85980,63931,Junior,1-6
2473,Marten Transport,Data Analyst,1,Hyderabad,51775,84878,85995,64137,Junior,1-6
2474,Multiplier Solutions,Data Analyst,1,Hyderabad,48131,84896,86008,64174,Junior,1-6
2475,Novartis,Data Analyst,1,Hyderabad,62947,84915,86023,64210,Junior,1-6
2476,Vi,Data Analyst,1,Hyderabad,77860,84927,86032,64313,Junior,1-6
2477,Jai Raj Ispat,Data Analyst,1,Hyderabad,56776,84931,86035,64210,Junior,1-6
2478,STUDY Monitor Tech,Data Analyst,1,Hyderabad,30210,84946,86047,64313,Junior,1-6
2479,Goldman Sachs,Data Analyst,1,Hyderabad,45555,84975,86068,64415,Junior,1-6
2480,Accenture,Data Analyst,1,Hyderabad,50000,84997,86084,64454,Junior,1-6
2481,Law In Order,Data Analyst,1,Hyderabad,48369,85015,86098,64493,Junior,1-6
2482,Object Technology Solutions India,Data Analyst,1,Hyderabad,36322,85035,86113,64493,Junior,1-6
2483,Lifetime Wellness Rx International Limited,Data Analyst,1,Hyderabad,45145,85061,86133,64493,Junior,1-6
2484,Informatica,Data Analyst,1,Hyderabad,52147,85083,86149,64493,Junior,1-6
2485,Byte Software Services,Data Analyst,1,Hyderabad,79051,85101,86162,64493,Junior,1-6
2486,Genpact,Data Analyst,1,Hyderabad,390096,85104,86165,64493,Mid,15-25
2487,EE Technologies,Data Analyst,1,Hyderabad,54000,84939,86045,64493,Junior,1-6
2488,Nisum,Data Analyst,1,Hyderabad,46776,84956,86058,64493,Junior,1-6
2489,ETG International,Data Analyst,1,Hyderabad,36872,84977,86073,64493,Junior,1-6
2490,Wipro Technologies,Data Analyst,1,Hyderabad,62475,85003,86093,64504,Junior,1-6
2491,Innodatatics,Data Analyst,1,Hyderabad,40000,85015,86102,64514,Junior,1-6
2492,Netflix,Data Analyst,1,Hyderabad,120000,85039,86120,64562,Mid,7-14
2493,Constant Contact,Data Analyst,1,Hyderabad,30269,85020,86107,64514,Junior,1-6
2494,ICICI Bank,Data Analyst,1,Hyderabad,197646,85050,86129,64562,Mid,7-14
2495,D&B Technologies,Data Analyst,1,Hyderabad,70000,84989,86085,64514,Junior,1-6
2496,Kritha Convertors,Data Analyst,1,Hyderabad,53744,84997,86091,64504,Junior,1-6
2497,ZettaMine Labs,Data Analyst,1,Hyderabad,33879,85014,86104,64514,Junior,1-6
2498,Nagamani Hospital,Data Analyst,1,Hyderabad,54000,85042,86125,64562,Junior,1-6
2499,GMR Hyderabad International Airport,Data Analyst,1,Hyderabad,69184,85059,86137,64610,Junior,1-6
2500,Idol Soft,Data Analyst,1,Hyderabad,51841,85067,86144,64562,Junior,1-6
2501,Crown Holdings,Data Analyst,1,Hyderabad,75241,85085,86158,64610,Junior,1-6
2502,Sankalp Group,Data Analyst,1,Hyderabad,61899,85091,86162,64562,Junior,1-6
2503,Enrich IBS,Data Analyst,1,Hyderabad,377367,85103,86172,64610,Mid,15-25
2504,DuPont,Data Analyst,1,Hyderabad,90181,84944,86056,64562,Junior,1-6
2505,Intelenet,Data Analyst,1,Hyderabad,69683,84941,86054,64514,Junior,1-6
2506,eHaat,Data Analyst,1,Hyderabad,33879,84950,86061,64504,Junior,1-6
2507,Vidal Healthcare,Data Analyst,1,Hyderabad,59117,84977,86082,64514,Junior,1-6
2508,Astegic,Data Analyst,1,Hyderabad,113482,84992,86092,64562,Mid,7-14
2509,Unify,Data Analyst,1,Hyderabad,44347,84976,86081,64514,Junior,1-6
2510,HSBC,Data Analyst,1,Hyderabad,146809,84998,86098,64562,Mid,7-14
2511,James Hardie,Data Analyst,1,Hyderabad,39031,84964,86074,64514,Junior,1-6
2512,Soul Of Anime Toystore,Data Analyst,1,Hyderabad,53744,84990,86093,64562,Junior,1-6
2513,Amazon Flex,Data Analyst,1,Hyderabad,46424,85007,86106,64610,Junior,1-6
2514,Thomson Reuters,Data Analyst,1,Hyderabad,48804,85028,86122,64747,Junior,1-6
2515,HighRadius,Data Analyst,1,Hyderabad,56951,85048,86137,64883,Junior,1-6
2516,TEKsystems,Data Analyst,1,Hyderabad,52254,85063,86148,64909,Junior,1-6
2517,Nassau Re,Data Analyst,1,Hyderabad,377367,85081,86162,64935,Mid,15-25
2518,OYO,Data Analyst,1,Hyderabad,52000,84921,86045,64909,Junior,1-6
2519,Petpal,Data Analyst,1,Hyderabad,44715,84939,86058,64935,Junior,1-6
2520,American Airlines,Data Analyst,1,Hyderabad,30219,84961,86075,64945,Junior,1-6
2521,exceedsoft,Data Analyst,1,Hyderabad,40328,84991,86098,64954,Junior,1-6
2522,Nexii IT Labs,Data Analyst,1,Hyderabad,41965,85015,86116,64974,Junior,1-6
2523,AnyTimeLoan.in,Data Analyst,1,Hyderabad,35472,85039,86134,64994,Junior,1-6
2524,Bourntec Solutions,Data Analyst,1,Hyderabad,41647,85066,86154,64997,Junior,1-6
2525,HP Inc.,Data Analyst,1,Hyderabad,45224,85090,86172,65000,Junior,1-6
2526,Jobminar,Data Analyst,1,Hyderabad,30220,85112,86189,65009,Junior,1-6
2527,Ardem,Data Analyst,1,Hyderabad,40991,85143,86212,65018,Junior,1-6
2528,Virtusa,Data Analyst,1,Hyderabad,50167,85167,86230,65033,Junior,1-6
2529,Ushta Te Consultancy Services LLP,Data Analyst,1,Hyderabad,31079,85186,86245,65048,Junior,1-6
2530,Tata Consultancy Services,Data Analyst,1,Hyderabad,54484,85216,86267,65065,Junior,1-6
2531,Berkadia,Data Analyst,1,Hyderabad,50719,85233,86280,65081,Junior,1-6
2532,Samsara,Data Analyst,1,Hyderabad,45172,85252,86295,65144,Junior,1-6
2533,Polaris FT,Data Analyst,1,Hyderabad,64415,85274,86311,65207,Junior,1-6
2534,Aria Tech IT Solutions,Data Analyst,1,Hyderabad,60292,85286,86320,65243,Junior,1-6
2535,Capgemini Invent,Data Analyst,1,Hyderabad,56505,85300,86331,65279,Junior,1-6
2536,Menukuri chakradhar reddy,Data Analyst,1,Hyderabad,38185,85316,86343,65280,Junior,1-6
2537,Idfy,Data Analyst,1,Hyderabad,60293,85342,86363,65280,Junior,1-6
2538,Accenture,Data Analyst,1,Hyderabad,59053,85356,86374,65366,Junior,1-6
2539,WNS,Data Analyst,1,Hyderabad,51312,85370,86385,65451,Junior,1-6
